ticker,RS,rating,theme,feature,reason
FORM,98,8,半導體測試/HBM,領先的探針卡供應商，受惠於 HBM 測試需求,AI 晶片複雜度提升帶動測試次數增加，是 HBM 產業鏈的隱形冠軍。
COHR,97,8,光學材料/SiC,垂直整合的光學與化合物半導體供應商,AI 光模組組件與碳化矽業務雙重驅動，新執行長上任後效率提升。
GLW,97,8,光纖/顯示玻璃,全球光纖龍頭，受惠於 AI 網路架構,新推出的高密度光纖產品受 AI 客戶青睞，傳統業務觸底反彈。
ESLT,96,8,國防/無人機,以色列領先的國防電子供應商,全球地緣政治緊張帶動軍備需求，訂單量創歷史新高。
FTI,96,8,能源服務/海底工程,海底油氣開發技術領導者,離岸油氣投資進入多年上升週期，公司積壓訂單充足，利潤率改善。
STRL,96,8,基礎設施建設,專注於資料中心地基與交通建設,成功轉型至高利潤的資料中心基礎建設，業績持續超預期。
NBIS,95,8,AI 雲端/基礎設施,前身為 Yandex，轉型為歐洲 AI 算力供應商,擁有大量 NVIDIA H100 儲備，是少數能提供大規模 AI 算力的稀缺標的。
ASX,95,8,半導體封測/CoWoS,全球最大半導體封測廠,受惠於 AI 晶片先進封裝需求，是台積電生態系的重要合作夥伴。
FN,95,8,光通訊製造/EMS,高品質光通訊組件代工廠,NVIDIA 的重要供應商，受惠於 AI 網路組件外包趨勢，利潤率穩定。
CNQ,90,8,能源/油砂,加拿大最大油氣生產商,資產壽命長、成本低，且承諾將所有自由現金流回饋股東。
WWD,90,8,航太/能源控制,航空發動機控制系統供應商,受惠於波音與空中巴士產量提升，以及工業能源轉型需求。
LITE,99,7,光通訊/AI 基礎設施,領先的光傳輸組件供應商，受惠於資料中心升級,AI 帶動 800G 光模組需求，公司正從傳統電信轉向高速資料中心應用。
AAOI,99,7,光模組/AI 網路,專注於資料中心內部連接的高速光收發器,與微軟等大客戶合作緊密，受惠於 AI 算力集群對頻寬的極端需求。
STX,98,7,存儲設備/HDD,大容量機械硬碟龍頭，受惠於雲端存儲,AI 訓練數據量激增帶動冷數據存儲需求，獲利能力顯著改善。
VAL,97,7,離岸鑽探/能源服務,全球領先的離岸鑽井承包商,深海開發復甦帶動日租金上漲，資產負債表修復完成，具備彈性。
TER,97,7,自動化測試/協作機器人,半導體測試設備與機器人雙賽道,受惠於晶片複雜化與自動化趨勢，但機器人業務短期受宏觀影響。
AEIS,97,7,電源轉換/半導體設備,精密電源控制技術領先者,半導體設備週期回升的受益者，且在資料中心電源市場佔有率提升。
MTZ,95,7,電力網路/再生能源建設,美國大型基礎設施承包商,受惠於電網升級與清潔能源轉型，但利潤率受勞動力成本影響。
ROIV,95,7,生物製藥/資產整合,獨特的「Vant」商業模式，收購並開發藥物,現金儲備充足，擅長資本運作與藥物價值挖掘，具備併購題材。
MTSI,94,7,射頻晶片/光通訊,專注於高性能模擬半導體,在 AI 資料中心與國防雷達領域具備技術優勢，業績穩步回升。
CVE,93,7,能源/油砂,加拿大大型綜合能源公司,隨 TMX 管道開通，加拿大原油折價縮小，現金流顯著改善。
IMO,92,7,能源/油砂,埃克森美孚控股的加拿大能源公司,營運極其穩健，受惠於加拿大原油出口環境改善，回購力度大。
SU,92,7,能源/油砂,加拿大綜合能源巨頭,新管理層專注於成本削減與效率提升，資產質量優異，現金流強勁。
BTSG,92,7,加密貨幣/AI 算力,比特幣礦商轉型 AI 資料中心營運,具備電力容量優勢，轉型 AI 託管業務具備較大想像空間。
PR,91,7,能源/頁岩油,專注於二疊紀盆地的純油氣生產商,資產質量極佳，生產效率高，是潛在的被收購對象。
CAT,91,7,工業/工程機械,全球工程機械龍頭,受惠於全球基礎建設支出，但面臨高基期與終端市場增速放緩。
ESE,91,7,航太/公用事業設備,提供過濾與測試解決方案,業務分散且穩健，受惠於航太復甦與電網自動化趨勢。
YPF,91,7,能源/阿根廷國企,阿根廷國家石油公司,受惠於阿根廷宏觀經濟改革與頁岩油開發，具備極高政治彈性。
TERN,99,6,生物製藥/NASH,專注於代謝性疾病與肥胖症藥物研發,減肥藥題材熱度高，但臨床試驗風險仍大，屬於高風險高回報標的。
CIEN,99,6,網路設備/雲端基礎設施,全球光傳輸網路設備龍頭,電信商支出放緩，但雲端服務商需求穩健，處於週期性復甦階段。
LASR,99,6,雷射技術/國防工業,高功率半導體雷射器製造商,受惠於定向能武器與工業自動化需求，技術壁壘高但市場規模較窄。
TSEM,99,6,半導體代工/模擬晶片,專注於特殊製程的晶圓代工廠,受惠於車用與工業感測器需求，但面臨成熟製程競爭壓力。
DNTH,98,6,生物製藥/免疫療法,開發針對補體系統的抗體藥物,研發管線具潛力，但需關注後續臨床數據，波動性較大。
DOCN,97,6,雲端運算/中小企業,專注於開發者與中小企業的雲端平台,面臨三大雲端巨頭競爭，但透過 AI 工具整合維持特定客群黏性。
APGE,96,6,生物製藥/皮膚病,開發長效型抗體療法,技術具備差異化，但仍處於臨床早期，需關注競爭對手動態。
RIG,96,6,離岸鑽探,超深水鑽井平台營運商,槓桿率較高，但受惠於深海鑽探日租金上漲，具備高貝塔屬性。
EQNR,95,6,能源/天然氣,挪威國家能源巨頭，歐洲天然氣主要供應商,現金流極強且分紅優渥，但受歐洲能源價格波動影響較大。
YOU,94,6,身份驗證/旅遊科技,機場快速安檢訂閱服務,旅遊需求旺盛帶動會員增長，但面臨政府免費替代方案的潛在競爭。
LBRT,94,6,頁岩油服務/壓裂,領先的水力壓裂服務商,技術效率領先，但受美國頁岩油商資本支出謹慎影響，成長受限。
PBR,93,6,能源/巴西石油,巴西國家石油公司，擁有優質深海資產,股息收益率極高，但受巴西政府干預風險影響，估值受壓。
KEYS,92,6,電子測試/通訊,全球電子測試測量儀器龍頭,受終端市場疲軟影響，但長期受惠於 6G 與 AI 研發投入。
VLO,92,6,能源/煉油,全球最大獨立煉油商之一,具備成本優勢，但煉油週期見頂回落，限制了股價上行空間。
CF,92,6,農業/氮肥,全球領先的氮肥生產商,受惠於低廉的美國天然氣成本，但化肥價格受全球供需波動影響。
AKAM,90,6,邊緣運算/網路安全,CDN 龍頭轉型雲端運算與安全,傳統 CDN 業務萎縮，但安全與運算業務增長抵消了部分衝擊。
PL,99,5,衛星影像/大數據,全球最大的地球觀測衛星群營運商,具備獨特數據源，但商業化進度較慢，獲利能力仍待驗證。
PARR,98,5,能源/煉油,夏威夷及美國西岸的區域性煉油商,受裂解價差波動影響大，缺乏長期成長故事，僅具備週期性機會。
VIAV,98,5,網路測試/光學安全,光通訊測試設備龍頭,電信商 5G 投資放緩壓制業績，需等待 AI 網路測試需求爆發。
APA,95,5,能源/油氣勘探,全球性油氣生產商，在蘇利南有重大發現,受油價波動影響大，蘇利南項目雖具潛力但貢獻尚需時間。
PBF,93,5,能源/煉油,美國獨立煉油商,煉油利潤率進入下行週期，缺乏成長動能，股價表現平平。
NOK,93,5,5G 設備/電信網路,全球電信設備供應商,5G 投資週期已過高峰，面臨華為與愛立信激烈競爭，成長乏力。
BTE,93,5,能源/油氣生產,加拿大中型油氣商,債務負擔較重，且在當前油價環境下缺乏顯著的競爭優勢。
PTEN,93,5,能源服務/陸上鑽探,美國領先的陸上鑽井承包商,美國陸上鑽機數量停滯，市場競爭激烈導致定價權受限。
BG,92,5,農業/糧食加工,全球四大糧商之一,大宗商品利潤率收窄，且併購 Viterra 帶來整合不確定性。
LYB,90,5,化學/塑料,全球領先的聚烯烴生產商,受全球經濟增速放緩影響，化學品需求疲軟，僅具備股息價值。
VSAT,99,4,衛星通訊,提供全球衛星寬頻服務,面臨 Starlink 強力競爭，且衛星發射故障導致財務壓力較大。
AMPX,99,4,新型電池/航空航太,高能量密度矽陽極電池技術,技術領先但產能爬坡困難，仍處於早期虧損階段，風險極高。
FIVE,95,4,零售/折扣店,針對青少年市場的低價零售商,受通膨影響，目標客群消費力下降，同店銷售增長面臨挑戰。
MRNA,92,4,生物製藥/mRNA,mRNA 技術先驅，專注於疫苗與癌症藥物,新冠疫苗收入銳減，研發管線雖廣但商業化仍需時日，虧損擴大。
SATL,98,3,衛星影像,低成本高解析度衛星遙測,面臨嚴峻的資金壓力與市場競爭，股價表現長期低迷。
ALB,95,3,鋰礦/電動車,全球最大鋰生產商,鋰價持續低迷且供應過剩，電動車需求增速放緩，短期基本面承壓。
SQM,94,3,鋰礦/智利能源,全球低成本鋰生產巨頭,受鋰價下跌與智利鋰礦國有化政策不確定性雙重打擊。
SEDG,96,2,再生能源/太陽能,太陽能逆變器供應商,歐洲庫存積壓嚴重且需求疲軟，財務狀況惡化，短期難以翻身。
SNDK,99,1,記憶體/併購,已被 Western Digital (WDC) 收購並下市,該公司已不再獨立交易，投資價值轉移至 WDC，故給予最低分。
